DateTime,7-day moving average,Number of flights
06/01/2020,168434,184566
07/01/2020,171657,183328
08/01/2020,176691,179306
09/01/2020,178076,185552
10/01/2020,179282,183890
11/01/2020,177687,154564
12/01/2020,176103,161515
13/01/2020,174255,171632
14/01/2020,172803,173162
15/01/2020,173944,187297
16/01/2020,174154,187023
17/01/2020,174764,188157
18/01/2020,175720,161254
19/01/2020,176331,165794
20/01/2020,178826,189099
21/01/2020,181355,190867
22/01/2020,180920,184248
23/01/2020,181318,189810
24/01/2020,181517,189551
25/01/2020,181667,162301
26/01/2020,181449,164267
27/01/2020,179682,176736
28/01/2020,177889,178310
29/01/2020,177914,184425
30/01/2020,177404,186239
31/01/2020,176746,184949
01/02/2020,175570,154067
02/02/2020,174770,158666
03/02/2020,175156,179441
04/02/2020,174070,170708
05/02/2020,172705,174865
06/02/2020,170661,171934
07/02/2020,170184,181611
08/02/2020,172443,169881
09/02/2020,171584,152651
10/02/2020,168731,159472
11/02/2020,167461,161819
12/02/2020,167653,176204
13/02/2020,168317,176585
14/02/2020,169889,192613
15/02/2020,169805,169293
16/02/2020,170475,157345
17/02/2020,172520,173785
18/02/2020,174004,172208
19/02/2020,175109,183938
20/02/2020,176087,183430
21/02/2020,176679,196756
22/02/2020,177533,175274
23/02/2020,178806,166252
24/02/2020,178806,173788
25/02/2020,178842,172456
26/02/2020,177380,173708
27/02/2020,177882,186942
28/02/2020,177506,194125
29/02/2020,176346,167154
01/03/2020,176520,167470
02/03/2020,176363,172689
03/03/2020,176997,176892
04/03/2020,178235,182378
05/03/2020,178483,188674
06/03/2020,177692,188587
07/03/2020,177885,168507
08/03/2020,178416,171187
09/03/2020,178796,175350
10/03/2020,177982,171193
11/03/2020,177834,181341
12/03/2020,176583,179920
13/03/2020,174208,171961
14/03/2020,172383,155729
15/03/2020,169859,153521
16/03/2020,167279,157293
17/03/2020,164012,148325
18/03/2020,158725,144330
19/03/2020,151899,132135
20/03/2020,145781,129138
21/03/2020,140043,115564
22/03/2020,132709,102181
23/03/2020,123842,95227
24/03/2020,116730,98539
25/03/2020,109608,94477
26/03/2020,104585,96970
27/03/2020,98890,89276
28/03/2020,92311,69508
29/03/2020,86931,64522
30/03/2020,83941,74295
31/03/2020,80930,77465
01/04/2020,78923,80431
02/04/2020,75931,76022
03/04/2020,73575,72785
04/04/2020,72441,61570
05/04/2020,71376,57065
06/04/2020,70394,67420
07/04/2020,69778,73157
08/04/2020,68944,74591
09/04/2020,67887,68623
10/04/2020,67230,68188
11/04/2020,67376,62592
12/04/2020,65837,46294
13/04/2020,63951,54214
14/04/2020,63758,71808
15/04/2020,63810,74953
16/04/2020,64752,75216
17/04/2020,65308,72081
18/04/2020,64675,58163
19/04/2020,66347,57994
20/04/2020,68235,67434
21/04/2020,68744,75371
22/04/2020,69240,78427
23/04/2020,69357,76032
24/04/2020,69750,74831
25/04/2020,71280,68877
26/04/2020,72076,63561
27/04/2020,73113,74696
28/04/2020,73876,80714
29/04/2020,73552,76156
30/04/2020,73906,78510
01/05/2020,74862,81522
02/05/2020,75200,71244
03/05/2020,75920,68602
04/05/2020,76318,77484
05/05/2020,76833,84315
06/05/2020,78821,90071
07/05/2020,81337,96122
08/05/2020,82373,88776
09/05/2020,83806,81275
10/05/2020,83198,64344
11/05/2020,83478,79443
12/05/2020,84269,89858
13/05/2020,84931,94702
14/05/2020,84680,94368
15/05/2020,85547,94840
16/05/2020,86969,91233
17/05/2020,90263,87398
18/05/2020,91670,89296
19/05/2020,92919,98601
20/05/2020,95155,110349
21/05/2020,98968,121065
22/05/2020,100823,107821
23/05/2020,99803,84093
24/05/2020,98810,80451
25/05/2020,98130,84532
26/05/2020,98311,99868
27/05/2020,98527,111860
28/05/2020,96544,107189
29/05/2020,97175,112233
30/05/2020,100447,106999
31/05/2020,103566,102287
01/06/2020,108319,117797
02/06/2020,111028,118835
03/06/2020,111665,116320
04/06/2020,112494,112990
05/06/2020,112321,111025
06/06/2020,110372,93355
07/06/2020,108754,90962
08/06/2020,107185,106809
09/06/2020,105888,109757
10/06/2020,105707,115051
11/06/2020,107275,123968
12/06/2020,110777,135545
13/06/2020,113771,114310
14/06/2020,115508,103124
15/06/2020,117238,118914
16/06/2020,119121,122942
17/06/2020,121082,128775
18/06/2020,121795,128959
19/06/2020,120750,128228
20/06/2020,121356,118555
21/06/2020,122664,112276
22/06/2020,122987,121175
23/06/2020,123796,128606
24/06/2020,125234,138845
25/06/2020,126695,139183
26/06/2020,127798,135951
27/06/2020,127133,113899
28/06/2020,126135,105289
29/06/2020,125444,116337
30/06/2020,125065,125957
01/07/2020,124285,133384
02/07/2020,124823,142950
03/07/2020,125679,141940
04/07/2020,126107,116896
05/07/2020,127930,118048
06/07/2020,129569,127813
07/07/2020,131116,136786
08/07/2020,131920,139012
09/07/2020,132545,147323
10/07/2020,133151,146182
11/07/2020,136612,141124
12/07/2020,140205,143199
13/07/2020,142989,147301
14/07/2020,144509,147427
15/07/2020,145997,149426
16/07/2020,146150,148395
17/07/2020,147423,155093
18/07/2020,148482,148535
19/07/2020,148000,139824
20/07/2020,147763,145643
21/07/2020,147604,146312
22/07/2020,147178,146449
23/07/2020,147282,149118
24/07/2020,146803,151744
25/07/2020,145978,142760
26/07/2020,144539,129750
27/07/2020,143431,137884
28/07/2020,142644,140805
29/07/2020,141086,135541
30/07/2020,141556,152409
31/07/2020,142740,160036
